Fullcode	Name	TSD_Code
10102003	Ashfield (M)	101
10103022	Botany (M)	101
10102052	Drummoyne (M)	101
10106091	Lane Cove (M)	101
10101093	Leichhardt (M)	101
10101102	Marrickville (M)	101
10106105	Mosman (M)	101
10106117	North Sydney (M)	101
10101129	Randwick (M)	101
10101140	South Sydney (M)	101
10101143	Sydney (C)	101
10101162	Waverley (M)	101
10101171	Woollahra (M)	101
10105004	Auburn (M)	102
10103007	Bankstown (C)	102
10102026	Burwood (M)	102
10103031	Canterbury (M)	102
10102039	Concord (M)	102
10106079	Hunters Hill (M)	102
10103080	Hurstville (M)	102
10103086	Kogarah (M)	102
10106087	Ku-ring-gai (M)	102
10106101	Manly (M)	102
10105123	Parramatta (C)	102
10103131	Rockdale (M)	102
10106132	Ryde (M)	102
10102141	Strathfield (M)	102
10106166	Willoughby (M)	102
10105010	Baulkham Hills (C)	103
10105015	Blacktown (C)	103
10105018	Blue Mountains (C)	103
10104029	Camden (M)	103
10104030	Campbelltown (C)	103
10105058	Fairfield (C)	103
10107063	Cosford (C)	103
10105073	Hawkesbury (S)	103
10105076	Holroyd (M)	103
10106077	Hornsby (S)	103
10104096	Liverpool (C)	103
10105125	Penrith (C)	103
10103142	Sutherland (S)	103
10106161	Warringah (S)	103
10104169	Wollondilly (S)	103
10107172	Wyong (S)	103
10201035	Cessnock	104
10201090	Lake Macouarie (C)	104
10201099	Maitland (C)	104
10201116	Newcastle (C)	104
10201126	Port Stephens (S)	104
10202055	Dungog (S)	104
10202062	Gloucester (S)	104
10202066	Great Lakes (S)	104
10202103	Merriwa (S)	104
10202110	Murrurundi (S)	104
10202111	Muswellbrook (S)	104
10202134	Scone (S)	104
10202138	Singleton (S)	104
10301085	Kiama (M)	105
10301136	Shellharbour (M)	105
10301170	Wollongong (C)	105
10302137	Shoalhaven (C)	105
10302168	Wingecarribee (S)	105
10401151	Tweed (S) (Part A)	106
10402005	Ballina (S)	106
10402027	Byron (S)	106
10402033	Casino (M)	106
10402088	Kyogle (S)	106
10402094	Lismore (C)	106
10402130	Richmond River (S)	106
10402151	Tweed (S) (Part B)	106
10501012	Bellingen (S)	107
10501037	Coffs Harbour (S)	107
10501046	Copmanhurst (S)	107
10501065	Grafton (C)	107
10501098	Maclean (S)	107
10501112	Nambucca (S)	107
10501119	Nymboida (S)	107
10501152	Ulmarra (S)	107
10502072	Hastings (M)	107
10502084	Kempsey (S)	107
10502146	Taree	107
10601145	Tamworth (C)	108
10602008	Barraba (S)	108
10602014	Bingara (S)	108
10602068	Gunnedah (S)	108
10602081	Inverell (S) (Part A)	108
10602100	Manilla (S)	108
10602118	Nundle (S)	108
10602124	Parry (S)	108
10602128	Quirindi (S)	108
10602173	Yallaroi (S)	108
10603002	Armidale (C)	108
10603054	Dumaresq (S)	108
10603061	Glen Innes (M)	108
10603070	Guyra (S)	108
10603081	Inverell (S) (Part B)	108
10603135	Severn (S)	108
10603148	Tenterfield (S)	108
10603153	Uralla (S)	108
10603158	Walcha (S)	108
10604104	Moree Plains (S)	108
10604113	Narrabri (S)	108
10701040	Coolah (S)	109
10701043	Coonabarabran (S)	109
10701053	Dubbo (c) )	109
10701060	Gilgandra (S)	109
10701106	Mudgee (S)	109
10701115	Narromine (S)	109
10701164	Wellington (S)	109
10702019	Bogan (S)	109
10702044	Coonamble (S)	109
10702159	Walgett (S)	109
10702160	Warren (S)	109
10703023	Bourke (S)	109
10703024	Brewarrina (S)	109
10703036	Cobar (S)	109
10801009	Bathurst (C)	110
10801017	Blayney (S) (Part A)	110
10801028	Cabonne (S) (Part A)	110
10801057	Evans (S) (Part A)	110
10801121	Orange (C)	110
10802017	Blayney (S) (Part B)	110
10802028	Cabonne (S) (Part B)	110
10802057	Evans (S) (Part B)	110
10802095	Lithgow	110
10802120	Oberon (S)	110
10802133	Rylestone (S)	110
10803016	Bland (S)	110
10803028	Cabonne (S) (Part C)	110
10803048	Cowra (S)	110
10803059	Forbes (S)	110
10803089	Lachlan (S)	110
10803122	Parkes (S)	110
10803163	Weddin (S)	110
10901127	Oueanbeyan (C)	111
10902021	Boorowa (S)	111
10902049	Crookwell (S)	111
10902064	Goulburn (C)	111
10902069	Gunning (S)	111
10902071	Harden (S)	111
10902107	Mulwaree (S)	111
10902144	Tallaganda (S)	111
10902174	Yarrowlumla (S)	111
10902175	Yass (S)	111
10902176	Young (S)	111
10903011	Bega Valley (S)	111
10903056	Eurobodalla (S)	111
10904020	Bombala (S)	111
10904042	Cooma-Monaro (S)	111
10904139	Snowy River (S)	111
11001156	Wagga Wagga (C)	112
11002041	Coolamon (S)	112
11002045	Cootamundra (S)	112
11002067	Gundagai (S)	112
11002083	Junee (S)	112
11002097	Lockhart (S)	112
11002114	Narrandera (S)	112
11002147	Temora (S)	112
11002150	Tumut (S)	112
11003032	Carrathool (S)	112
11003074	Hay (S)	112
11003092	Leeton (S)	112
11003109	Murrumbidgee (S)	112
11003155	Wade (S)	112
11101001	Albury (C)	113
11101078	Hume (S)	113
11102047	Corowa (S)	113
11102050	Culcairn (S)	113
11102075	Holbrook (S)	113
11102149	Tumbarumba (S)	113
11102154	Urana (S)	113
11103013	Berrigan (S)	113
11103038	Conargo (S)	113
11103051	Deniliouin (M)	113
11103082	Jerilderie (S)	113
11103108	Murray (S)	113
11103157	Wakool (S)	113
11103167	Windouran (S)	113
11104006	Balranald (S)	113
11104165	Wentworth (S)	113
11201025	Broken Hill (C)	114
11202034	Central Darling (S)	114
11202177	Unincorporated (Far West)	114
20101029	Brighton (C)	201
20101031	Broadmeadows (C)	201
20101032	Brunswick (C)	201
20101037	Camberwell (C)	201
20101040	Caulfield (C)	201
20101045	Coburg (C)	201
20101049	Collingwood (C)	201
20101067	Essendon (C)	201
20101069	Fitzroy (C)	201
20101071	Footscray (C)	201
20101083	Hawthorn (C)	201
20101092	Keilor (C)	201
20101095	Kew (C)	201
20101111	Malvern (C)	201
20101115	Melbourne (C)	201
20101135	Northcote (C)	201
20101146	Port Melbourne (C)	201
20101149	Prahran (C)	201
20101153	Richmond (C)	201
20101162	St Kilda (C)	201
20101172	South Melbourne (C)	201
20101177	Sunshine (C)	201
20101202	Williamstown (C	201
20101003	Altona (C)	202
20101033	Bulla (S)	202
20101057	Diamond Valley (S)	202
20101066	Eltham (S)	202
20101084	Healesville (S) (Part A)	202
21201084	Healesville (S) (Part B)	202
20101085	Heidelberg (C)	202
20101116	Melton (S)	202
20101150	Preston (C)	202
20101200	Werribee (S)	202
20101201	Whittlesea (S)	202
20101024	Berwick (C)	203
20101027	Box Hill (C)	203
20101042	Chelsea (C)	203
20101051	Cranbourne (S) (Part A)	203
21201051	Cranbourne (S) (Part B)	203
20101053	Croydon (C)	203
20101054	Dandenong (C)	203
20101060	Doncaster & Templestowe (C)	203
20101070	Flinders (S)	203
20101072	Frankston (C)	203
20101082	Hastings (S)	203
20101097	Knox (C)	203
20101106	Lillydale (S)	203
20101123	Moorabbin (C)	203
20101124	Mordialloc (C)	203
20101125	Mornington (S)	203
20101137	Nunawading (C)	203
20101138	Oakleigh (C)	203
20101143	Pakenham (S) (Part A)	203
21201143	Pakenham (S) (Part B)	203
20101154	Ringwood (C)	203
20101164	Sandringham (C)	203
20101169	Sherbrooke (S)	203
20101173	Springvale (C)	203
20101199	Waverley (C)	203
21201051	Cranbourne (S) (Part B)	203
21201144	Phillip Island (S)	213
21201213	Unincorporated (French Island)	213
20201015	Bannockburn (S) (Part A)	204
20201016	Barrabool (S) (Part A)	204
20201020	Bellarine (S) (Part A)	204
20201050	Corio (S) (Part A)	204
20201073	Geelong (C)	204
20201074	Geelong West (C)	204
20201134	Newtown (C)	204
20201170	South Barwon (C) (Part A)	204
20202015	Bannockburn (S) (Part B)	204
20202016	Barrabool (S) (Part B)	204
20202020	Bellarine (S) (Part B)	204
20202047	Colac (C)	204
20202048	Colac (S)	204
20202050	Corio (S) (Part B)	204
20202104	Leigh (S)	204
20202141	Otway (S)	204
20202152	Oueenscliffe (B)	204
20202170	South Barwon (C) (Part B)	204
20202204	Winchelsea (S)	204
20301086	Heytesbury (S)	204
20301019	Belfast (S)	205
20301038	Camperdown (T)	205
20301061	Dundas (S)	205
20301076	Glenelg (S)	205
20301080	Hamilton (C)	205
20301081	Hampden (S)	205
20301098	Koroit (B)	205
20301120	Minhamite (S)	205
20301126	Mortlake (S)	205
20301128	Mt Rouse (S)	205
20301145	Port Fairy (B)	205
20301147	Portland (S)	205
20301148	Portland (C)	205
20301193	Wannon (S)	205
20301197	Warrnambool (C)	205
20301198	Warrnambool (S)	205
20401012	Ballaarat (C)	206
20401014	Ballarat (S) (Part A)	206
20401035	Bungaree (S) (Part A)	206
20401036	Buninyong (S) (Part A)	206
20401079	Grenville (S) (Part A)	206
20401165	Sebastopol (B)	206
20402005	Ararat (C)	206
20402006	Ararat (S)	206
20402007	Avoca (S)	206
20402009	Bacchus Marsh (S)	206
20402013	Ballan (S)	206
20402014	Ballarat (S) (Part B)	206
20402035	Bungaree (S) (Part B)	206
20402036	Buninyong (S) (Part B)	206
20402079	Grenville (S) (Part B)	206
20402105	Lexton (S)	206
20402155	Ripon (S)	206
20501004	Arapiles (S)	207
20501058	Dimboola (S)	207
20501062	Dunmunkle (S)	207
20501087	Horsham (C)	207
20501089	Kaniva (S)	207
20501091	Karkarooc (S)	207
20501101	Kowree (S)	207
20501107	Lowan (S)	207
20501174	Stawell (S)	207
20501175	Stawell (T)	207
20501195	Warracknabeal (S)	207
20501203	Wimmera (S)	207
20702090	Kara Kara (S)	207
20702161	St Arnaud (T)	207
20601093	Kerang (B)	208
20601094	Kerang (S)	208
20601118	Mildura (C)	208
20601119	Mildura (S)	208
20601178	Swan Hill (C)	208
20601179	Swan Hill (S)	208
20601190	Walpeup (S)	208
20601208	Wycheproof (S)	208
20702041	Charlton (S)	208
20702046	Cohuna (S)	208
20501026	Birchip (S)	208
20501059	Donald (S)	208
20701023	Bendigo (C)	209
20701063	Eaglehawk (B)	209
20701088	Huntly (S) (Part A)	209
20701113	Marong (S) (Part A)	209
20701176	Strathfieldsaye (S) (Part A)	209
20702025	Bet Bet (S)	209
20702039	Castlemaine (C)	209
20702064	East Loddon (S)	209
20702075	Gisborne (S)	209
20702077	Gordon (S)	209
20702088	Huntly (S) (Part B)	209
20702099	Korong (S)	209
20702103	Kyneton (S)	209
20702108	Mcivor (S)	209
20702110	Maldon (S)	209
20702113	Marong (S) (Part B)	209
20702114	Maryborough (C)	209
20702117	Metcalfe (S)	209
20702132	Newham & Woodend (S)	209
20702133	Newstead (S)	209
20702158	Romsey (S)	209
20702176	Strathfieldsaye (S) (Part B)	209
20702185	Tullaroop (S)	209
20402055	Daylesford & Glenlyon (S)	209
20402052	Creswick (S)	209
20402180	Talbot & Clunes (S)	209
20801157	Rodney (S) (Part A)	210
20801167	Shepparton (C)	210
20801168	Shepparton (S) (Part A)	210
20802002	Alexandra (S)	210
20802021	Benalla (C)	210
20802022	Benalla (S)	210
20802030	Broadford (S)	210
20802044	Cobram (S)	210
20802056	Deakin (S)	210
20802068	Euroa (S)	210
20802078	Goulburn (S)	210
20802096	Kilmore (S)	210
20802102	Kyabram (T)	210
20802112	Mansfield (S)	210
20802131	Nathalia (S)	210
20802136	Numurkah (S)	210
20802157	Rodney (S) (Part B)	210
20802166	Seymour (S)	210
20802168	Shepparton (S) (Part B)	210
20802186	Tungamah (S)	210
20802189	Violet Town (S)	210
20802194	Waranga (S)	210
20802212	Yea (S)	210
20702156	Rochester (S)	210
20702151	Pyalong (S)	210
20702065	Echuca (C)	210
20902211	Yarrawonga (S)	210
20901018	Beechworth (S)	211
20901043	Chiltern (S)	211
20901181	Tallangatta (S) (Part A)	211
20901205	Wodonga (RC)	211
20901209	Yackandandah (S) (Part A)	211
20902028	Bright (S)	211
20902129	Myrtleford (S)	211
20902142	Oxley (S)	211
20902160	Rutherglen (S)	211
20902181	Tallangatta (S) (Part B)	211
20902187	Upper Murray (S)	211
20902191	Wangaratta (C)	211
20902192	Wangaratta (S)	211
20902209	Yackandandah (S) (Part B)	211
21001008	Avon (S)	212
21001010	Bairnsdale (S)	212
21001011	Bairnsdale (T)	212
21001109	Maffra (S)	212
21001139	Omeo (S)	212
