Sla_id	Sla_name	TSD_Code
10150	Ashfield (M)	101
11100	Botany (M)	101
12550	Drummoyne (M)	101
14700	Lane Cove (M)	101
14800	Leichhardt (M)	101
15200	Marrickville (M)	101
15350	Mosman (M)	101
15950	North Sydney (M)	101
16550	Randwick (M)	101
17070	South Sydney (C)	101
17201	Sydney (C) - Inner	101
17202	Sydney (C) - Remainder	101
18050	Waverley (M)	101
18500	Woollahra (M)	101
10200	Auburn (M)	102
10350	Bankstown (C)	102
11550	Canterbury (M)	102
11900	Concord (M)	102
14100	Hunter	102
14150	Hurstville (C)	102
14450	Kogarah (M)	102
14500	Ku-ring-gai (M)	102
15150	Manly (M)	102
16250	Parramatta (C)	102
16650	Rockdale (M)	102
16700	Ryde (M)	102
17100	Strathfield (M)	102
18250	Willoughby (C)	102
10500	Baulkham Hills (S)	103
10750	Blacktown (C)	103
10900	Blue Mountains (C)	103
11450	Camden (M)	103
11500	Campbelltown (C)	103
12850	Fairfield (C)	103
13100	Gosford (C)	103
13800	Hawkesbury (C)	103
13950	Holroyd (C)	103
14000	Hornsby (S)	103
14900	Liverpool (C)	103
16350	Penrith (C)	103
17150	Sutherland (S)	103
18000	Warringah (S)	103
18400	Wollondilly (S)	103
18550	Wyong (S)	103
11720	Cessnock (C)	104
12700	Dungog (S)	104
13050	Gloucester (S)	104
13400	Great Lakes (S)	104
14650	Lake Macquarie (C)	104
15050	Maitland (C)	104
15250	Merriwa (S)	104
15600	Murrurundi (S)	104
15650	Muswellbrook (S)	104
15901	Newcastle (C) - Inner	104
15902	Newcastle (C) - Remainder	104
16400	Port Stephens (S)	104
16800	Scone (S)	104
17000	Singleton (S)	104
14400	Kiama (M)	105
16900	Shellharbour (M)	105
16950	Shoalhaven (C)	105
18350	Wingecarribee (S)	105
18450	Wollongong (C)	105
10250	Ballina (S)	106
11350	Byron (S)	106
11650	Casino (M)	106
14550	Kyogle (S)	106
14850	Lismore (C)	106
16600	Richmond River (S)	106
17551	Tweed (S)- Pt A	106
