Sla_code	Sla_name	Total_pers	TSD_Code
10150	Ashfield (A)	40077	101
11100	Botany (A)	34702	101
12550	Drummoyne (A)	30264	101
14700	Lane Cove (A)	30107	101
14800	Leichhardt (A)	58304	101
15200	Marrickville (A)	76017	101
15350	Mosman (A)	25468	101
15950	North Sydney (A)	53790	101
16550	Randwick (C)	118905	101
17070	South Sydney (C)	82960	101
17201	Sydney (C) - Inner	11115	101
17202	Sydney (C) - Remainder	13768	101
18050	Waverley (A)	61674	101
18500	Woollahra (A)	50169	101
10200	Auburn (A)	50959	102
10350	Bankstown (C)	157735	102
11300	Burwood (A)	28579	102
11550	Canterbury (C)	132360	102
11900	Concord (A)	23644	102
14100	Hunter's Hill (A)	11969	102
14150	Hurstville (C)	65392	102
14450	Kogarah (A)	47618	102
14500	Ku-ring-gai (A)	99032	102
15150	Manly (A)	36265	102
16250	Parramatta (C)	139157	102
16650	Rockdale (C)	84847	102
16700	Ryde (C)	92675	102
17100	Strathfield (A)	26044	102
18250	Willoughby (C)	53735	102
17150	Sutherland Shire (A)	194105	103
12850	Fairfield (C)	181785	103
14900	Liverpool (C)	120197	103
11450	Camden (A)	32109	103
11500	Campbelltown (C) (NSW)	143773	103
18400	Wollondilly (A)	33413	103
13950	Holroyd (C)	80470	103
10900	Blue Mountains (C)	72506	103
13800	Hawkesbury (C)	57381	103
16350	Penrith (C)	163122	103
10500	Baulkham Hills (A)	119545	103
10750	Blacktown (C)	232219	103
14000	Hornsby (A)	136746	103
16370	Pittwater (A)	51450	103
18000	Warringah (A)	124299	103
13100	Gosford (C)	144840	103
18550	Wyong (A)	115999	103
11720	Cessnock (C)	44362	104
14650	Lake Macquarie (C)	170495	104
15050	Maitland (C)	49941	104
15901	Newcastle (C) - Inner	4145	104
15902	Newcastle (C) - Remainder	129541	104
16400	Port Stephens (A)	51288	104
12700	Dungog (A)	7658	104
13050	Gloucester (A)	4816	104
13400	Great Lakes (A)	28609	104
15250	Merriwa (A)	2257	104
15600	Murrurundi (A)	2166	104
15650	Muswellbrook (A)	15562	104
16800	Scone (A)	9518	104
17000	Singleton (A)	20133	104
14400	Kiama (A)	17706	105
16900	Shellharbour (A)	52080	105
18450	Wollongong (C)	177009	105
16950	Shoalhaven (C)	76726	105
18350	Wingecarribee (A)	36777	105
17551	Tweed (A) - Pt A	41030	106
10250	Ballina (A)	34702	106
11350	Byron (A)	27565	106
11650	Casino (A)	10774	106
14550	Kyogle (A)	9716	106
14850	Lismore (C)	42954	106
16600	Richmond River (A)	10059	106
17552	Tweed (A) - Pt B	25835	106
10600	Bellingen (A)	12253	107
11800	Coffs Harbour (C)	58337	107
12250	Copmanhurst (A)	3968	107
13200	Grafton (C)	17110	107
15000	Maclean (A)	15987	107
